victims,state,verb,report_date,year
4,JK,killed,3/7/2000,2000
7,JK,killed,3/7/2000,2000
1,NA,arrested,3/7/2000,2000
7,AS,surrendered,3/7/2000,2000
2,NA,killed,3/8/2000,2000
1,AS,killed,3/8/2000,2000
1,MN,injured,3/9/2000,2000
1,NA,arrested,3/9/2000,2000
3,NA,arrested,3/12/2000,2000
3,NA,arrested,3/12/2000,2000
9,BR|JH,killing,3/13/2000,2000
1,MH,killed,3/14/2000,2000
3,JK,killed,3/15/2000,2000
2,JK,killed,3/15/2000,2000
2,JK,killed,3/15/2000,2000
4,TR,killed,3/15/2000,2000
4,TR,injured,3/15/2000,2000
2,NA,arrested,3/16/2000,2000
8,JK,killed,3/17/2000,2000
1,NA,killed,3/17/2000,2000
2,NA,injured,3/17/2000,2000
1,NA,wounded,3/18/2000,2000
1,NA,arrested,3/18/2000,2000
4,NA,killed,3/18/2000,2000
1,NA,injured,3/18/2000,2000
1,NA,killed,3/18/2000,2000
3,NA,killed,3/18/2000,2000
3,NA,killed,3/21/2000,2000
1,NA,arrested,3/21/2000,2000
1,JK,injured,3/22/2000,2000
10,NA,killed,3/23/2000,2000
1,NA,killed,3/23/2000,2000
2,NA,killed,3/23/2000,2000
1,NA,killed,3/23/2000,2000
2,AP,killed,3/23/2000,2000
0,NA,killed,3/24/2000,2000
8,JK,killed,3/24/2000,2000
1,AS,arrested,3/25/2000,2000
1,JK,arrested,3/25/2000,2000
3,JK,killed,3/26/2000,2000
5,JK,killed,3/26/2000,2000
1,AS,killed,3/26/2000,2000
5,MN,killed,3/26/2000,2000
12,NA,killed,3/28/2000,2000
5,NA,injured,3/28/2000,2000
2,NA,killed,3/28/2000,2000
2,JK,killed,3/29/2000,2000
2,JK,injured,3/29/2000,2000
2,JK,killed,3/29/2000,2000
4,JK,killed,3/29/2000,2000
1,JK,killed,3/29/2000,2000
10,CT|MP,arrested,3/29/2000,2000
1,PB,arrested,3/29/2000,2000
0,JK,killed,3/31/2000,2000
1,JK,injured,3/31/2000,2000
2,JK,killed,3/31/2000,2000
2,JK,injured,3/31/2000,2000
4,BR|JH,killed,3/31/2000,2000
5,BR|JH,arrested,3/31/2000,2000
1,NA,killed,3/31/2000,2000
1,TR,killed,3/31/2000,2000
5,JK,killed,4/1/2000,2000
5,JK,killed,4/1/2000,2000
2,AP,killed,4/1/2000,2000
1,AP,killed,4/1/2000,2000
3,NA,arrested,4/1/2000,2000
0,JK,killed,4/3/2000,2000
43,AS,surrendered,4/3/2000,2000
1,NA,killed,4/3/2000,2000
1,NA,killed,4/3/2000,2000
1,NA,killed,4/3/2000,2000
1,NA,arrested,4/3/2000,2000
3,NA,arrested,4/3/2000,2000
7,JK,killed,4/4/2000,2000
11,JK,injured,4/4/2000,2000
2,JK,killed,4/4/2000,2000
1,JK,killed,4/4/2000,2000
1,JK,injured,4/4/2000,2000
4,AS,arrested,4/4/2000,2000
5,TR,arrested,4/4/2000,2000
5,TR,arrested,4/4/2000,2000
3,TR,arrested,4/4/2000,2000
4,JK,killed,4/5/2000,2000
3,JK,injured,4/5/2000,2000
1,NA,killed,4/6/2000,2000
1,NA,killed,4/6/2000,2000
3,NA,killed,4/6/2000,2000
1,NA,killed,4/6/2000,2000
5,MN,killed,4/7/2000,2000
3,JK,arrested,4/7/2000,2000
2,JK,killed,4/7/2000,2000
2,JK,killed,4/8/2000,2000
2,JK,killed,4/8/2000,2000
1,JK,killed,4/8/2000,2000
0,AS,arrested,4/8/2000,2000
5,JK,killed,4/10/2000,2000
6,JK,killed,4/10/2000,2000
3,JK,arrested,4/10/2000,2000
3,JK,killed,4/10/2000,2000
11000,JK,killed,4/10/2000,2000
3,MN,killed,4/10/2000,2000
11,AS,killed,4/11/2000,2000
1,AS,killed,4/11/2000,2000
25,JK,killed,4/11/2000,2000
11,JK,killed,4/11/2000,2000
5,NA,killed,4/11/2000,2000
2,TR,killed,4/12/2000,2000
2,AP,killed,4/12/2000,2000
3,NA,killed,4/12/2000,2000
1,NA,killed,4/12/2000,2000
1,JK,killed,4/13/2000,2000
12,JK,injured,4/13/2000,2000
1,JK,killed,4/13/2000,2000
1,JK,arrested,4/13/2000,2000
3,JK,killed,4/13/2000,2000
4,JK,killed,4/13/2000,2000
9,JK,killed,4/14/2000,2000
1,JK,killed,4/14/2000,2000
1,JK,arrested,4/14/2000,2000
7,JK,killed,4/16/2000,2000
3,JK,killed,4/16/2000,2000
2,JK,killed,4/16/2000,2000
1,JK,killed,4/16/2000,2000
1,JK,killed,4/16/2000,2000
1,JK,arrested,4/16/2000,2000
4,NA,killed,4/16/2000,2000
7,NA,surrendered,4/16/2000,2000
2,WB,injured,4/16/2000,2000
1,JK,killed,4/17/2000,2000
2,JK,killed,4/17/2000,2000
5,JK,killed,4/17/2000,2000
2,JK,injured,4/17/2000,2000
2,JK,killed,4/17/2000,2000
1,JK,arrested,4/17/2000,2000
2,JK,killed,4/17/2000,2000
4,JK,killed,4/18/2000,2000
11,JK,injured,4/18/2000,2000
2,AP,killed,4/18/2000,2000
2,TR,killed,4/18/2000,2000
17,TR,injured,4/18/2000,2000
4,AP,arrested,4/18/2000,2000
4,JK,killed,4/19/2000,2000
7,JK,injured,4/19/2000,2000
1,JK,killed,4/19/2000,2000
2,JK,injured,4/19/2000,2000
1,NA,killed,4/19/2000,2000
8,JK,injuring,4/20/2000,2000
4,JK,killed,4/20/2000,2000
2,JK,killed,4/20/2000,2000
11,NA,killing,4/21/2000,2000
10,JK,killed,4/21/2000,2000
1,JK,injured,4/21/2000,2000
2,JK,killed,4/21/2000,2000
1,JK,killed,4/21/2000,2000
2,JK,killed,4/21/2000,2000
1,JK,arrested,4/21/2000,2000
13,JK,killed,4/22/2000,2000
4,JK,killed,4/22/2000,2000
3,JK,killed,4/22/2000,2000
1,JK,killed,4/22/2000,2000
2,CT|MP,killing,4/22/2000,2000
1,CT|MP,injuring,4/22/2000,2000
1,JK,killed,4/24/2000,2000
3,JK,injured,4/24/2000,2000
2,JK,arrested,4/24/2000,2000
2,AP,arrested,4/24/2000,2000
6,AS,killing,4/25/2000,2000
1,JK,killed,4/25/2000,2000
4,JK,injured,4/25/2000,2000
1,JK,killed,4/25/2000,2000
1,JK,arrested,4/25/2000,2000
1,NA,arrested,4/25/2000,2000
1,NA,arrested,4/25/2000,2000
5,JK,killed,4/26/2000,2000
6,AP,killed,4/27/2000,2000
5,NA,killed,4/27/2000,2000
5,NA,injured,4/27/2000,2000
12,AP,killed,4/28/2000,2000
6,JK,killed,4/28/2000,2000
4,JK,killed,4/28/2000,2000
2,JK,killed,4/28/2000,2000
2,JK,killed,4/28/2000,2000
3,JK,killed,4/28/2000,2000
4,AS,killed,4/28/2000,2000
1,BR|JH,killed,4/28/2000,2000
1,BR|JH,injured,4/28/2000,2000
2,AS,arrested,4/28/2000,2000
1,AS,surrendered,4/28/2000,2000
1,AS,arrested,4/28/2000,2000
11,AS,surrendered,4/28/2000,2000
9,JK,killed,4/29/2000,2000
1,JK,killed,4/29/2000,2000
1,JK,injured,4/29/2000,2000
6,AP,surrendered,4/29/2000,2000
2,AS,arrested,4/29/2000,2000
6,AS,surrendered,4/29/2000,2000
2,JK,injured,5/1/2000,2000
2,JK,injured,5/1/2000,2000
1,JK,killed,5/1/2000,2000
1,JK,killed,5/1/2000,2000
3,JK,killed,5/1/2000,2000
2,JK,killed,5/1/2000,2000
1,JK,arrested,5/1/2000,2000
2,NA,killed,5/2/2000,2000
1,JK,killed,5/3/2000,2000
2,JK,arrested,5/3/2000,2000
1,JK,killed,5/3/2000,2000
1,JK,injured,5/3/2000,2000
4,JK,killed,5/4/2000,2000
1,JK,injured,5/4/2000,2000
1,JK,killed,5/4/2000,2000
3,JK,killed,5/5/2000,2000
1,JK,killed,5/5/2000,2000
1,JK,arrested,5/5/2000,2000
1,WB,killed,5/5/2000,2000
1,JK,surrendered,5/6/2000,2000
1,JK,killed,5/6/2000,2000
1,JK,killed,5/6/2000,2000
2,AS,arrested,5/6/2000,2000
6,NA,killed,5/8/2000,2000
6,NA,killed,5/8/2000,2000
2,NA,killed,5/8/2000,2000
1,NA,killed,5/8/2000,2000
2,NA,killed,5/8/2000,2000
3,NA,killed,5/8/2000,2000
2,NA,killed,5/8/2000,2000
1,NA,injured,5/8/2000,2000
1,NA,arrested,5/8/2000,2000
2,NA,arrested,5/8/2000,2000
3,NA,killed,5/8/2000,2000
2,NA,arrested,5/8/2000,2000
4,BR|JH,killed,5/8/2000,2000
4,PB,arrested,5/8/2000,2000
2,JK,killed,5/9/2000,2000
1,JK,killed,5/9/2000,2000
3,JK,killed,5/9/2000,2000
8,MN,killed,5/10/2000,2000
5,NA,killed,5/10/2000,2000
4,TR,killed,5/10/2000,2000
70,NA,killed,5/11/2000,2000
4,JK,killed,5/11/2000,2000
3,JK,injured,5/11/2000,2000
6,AS,arrested,5/11/2000,2000
2,JK,killed,5/12/2000,2000
1,JK,killed,5/12/2000,2000
1,JK,injured,5/12/2000,2000
3,JK,killed,5/12/2000,2000
1,JK,killed,5/12/2000,2000
1,JK,injured,5/12/2000,2000
4,JK,killing,5/12/2000,2000
1,AS,killed,5/12/2000,2000
2,AS,arrested,5/12/2000,2000
1,NA,killed,5/13/2000,2000
13,NA,injured,5/13/2000,2000
1,JK,injured,5/13/2000,2000
9,NA,surrendered,5/13/2000,2000
7,NA,arrested,5/13/2000,2000
1,NA,killed,5/15/2000,2000
3,NA,killed,5/15/2000,2000
1,NA,killed,5/15/2000,2000
6,NA,killed,5/15/2000,2000
6,AS,killed,5/15/2000,2000
1,AS,killed,5/15/2000,2000
1,AS,killed,5/16/2000,2000
1,AS,arrested,5/16/2000,2000
1,AS,arrested,5/16/2000,2000
2,AS,arrested,5/16/2000,2000
1,JK,killed,5/17/2000,2000
1,JK,killed,5/17/2000,2000
1,AS,arrested,5/17/2000,2000
3,AP,killed,5/18/2000,2000
1,JK,killed,5/18/2000,2000
1,JK,killed,5/18/2000,2000
2,JK,injured,5/18/2000,2000
2,JK,killed,5/18/2000,2000
2,JK,injured,5/18/2000,2000
1,JK,killed,5/18/2000,2000
1,JK,killed,5/18/2000,2000
2,JK,injured,5/18/2000,2000
2,JK,arrested,5/18/2000,2000
1,MN,killed,5/18/2000,2000
12,TR,killed,5/19/2000,2000
6,AS,killed,5/19/2000,2000
2,AS,killed,5/19/2000,2000
2,JK,killed,5/19/2000,2000
2,JK,killed,5/19/2000,2000
1,JK,injuring,5/19/2000,2000
1,JK,killed,5/19/2000,2000
1,JK,killed,5/19/2000,2000
3,NA,killed,5/20/2000,2000
1,NA,killed,5/20/2000,2000
1,NA,killed,5/20/2000,2000
1,NA,killed,5/20/2000,2000
0,NA,injured,5/20/2000,2000
1,AS,arrested,5/20/2000,2000
5,BR|JH,killed,5/22/2000,2000
2,JK,killed,5/22/2000,2000
1,JK,killed,5/22/2000,2000
1,JK,killed,5/22/2000,2000
1,JK,arrested,5/22/2000,2000
2,JK,killed,5/22/2000,2000
1,JK,killed,5/22/2000,2000
1,JK,arrested,5/22/2000,2000
3,JK,arrested,5/23/2000,2000
6,JK,killed,5/23/2000,2000
2,JK,killed,5/23/2000,2000
2,AS,killed,5/24/2000,2000
2,AS,arrested,5/24/2000,2000
10,NA,injuring,5/24/2000,2000
6,TR,injured,5/24/2000,2000
1,AS,arrested,5/25/2000,2000
2,JK,killed,5/26/2000,2000
13,NA,killed,5/27/2000,2000
6,NA,killed,5/27/2000,2000
4,NA,killed,5/27/2000,2000
3,NA,killed,5/27/2000,2000
2,NA,injured,5/27/2000,2000
1,NA,killed,5/27/2000,2000
1,NA,killed,5/27/2000,2000
1,NA,killed,5/27/2000,2000
2,NA,killed,5/27/2000,2000
1,TR,killed,5/27/2000,2000
3,NA,killed,5/29/2000,2000
1,NA,killed,5/29/2000,2000
3,NA,killed,5/29/2000,2000
1,NA,killed,5/29/2000,2000
2,NA,killed,5/29/2000,2000
3,NA,killed,5/29/2000,2000
2,NA,injured,5/29/2000,2000
2,NA,arrested,5/29/2000,2000
1,AS,killed,5/29/2000,2000
1,AS,killed,5/29/2000,2000
1,AP,killed,5/29/2000,2000
1,JK,killed,5/30/2000,2000
1,JK,killed,5/30/2000,2000
2,JK,killed,5/30/2000,2000
1,BR|JH,arrested,5/30/2000,2000
20,BR|JH,arrested,5/30/2000,2000
9,NA,surrendered,5/30/2000,2000
4,AP,killed,5/31/2000,2000
3,AP,injured,5/31/2000,2000
11,AP,arrested,5/31/2000,2000
1,JK,killed,5/31/2000,2000
6,JK,killed,6/1/2000,2000
1,JK,killed,6/1/2000,2000
1,JK,killed,6/1/2000,2000
2,MN,killed,6/1/2000,2000
2,MN,injured,6/1/2000,2000
1,JK,killed,6/2/2000,2000
1,JK,killed,6/2/2000,2000
1,JK,killed,6/2/2000,2000
1,JK,injured,6/2/2000,2000
4,JK,killed,6/2/2000,2000
3,JK,killed,6/2/2000,2000
2,JK,killed,6/2/2000,2000
1,JK,killed,6/2/2000,2000
1,JK,killed,6/3/2000,2000
1,TR,killed,6/3/2000,2000
4,TR,injured,6/3/2000,2000
4,JK,killed,6/5/2000,2000
1,JK,killed,6/5/2000,2000
2,JK,killed,6/5/2000,2000
2,JK,killed,6/5/2000,2000
1,JK,killed,6/5/2000,2000
2,AP,killed,6/5/2000,2000
1,AS,killed,6/5/2000,2000
2,AS,killed,6/5/2000,2000
5,AS,injured,6/5/2000,2000
1,AS,arrested,6/5/2000,2000
3,JK,killed,6/6/2000,2000
2,TR,killed,6/6/2000,2000
1,AS,killed,6/6/2000,2000
1,JK,killed,6/7/2000,2000
1,JK,killed,6/7/2000,2000
1,JK,injured,6/7/2000,2000
1,JK,killed,6/7/2000,2000
2,JK,arrested,6/7/2000,2000
1,AS,killed,6/7/2000,2000
1,AS,arrested,6/7/2000,2000
1,AS,arrested,6/7/2000,2000
1,ML,killed,6/8/2000,2000
2,ML,injured,6/8/2000,2000
1,AS,surrendered,6/8/2000,2000
2,JK,killed,6/9/2000,2000
2,JK,killed,6/9/2000,2000
1,JK,killed,6/9/2000,2000
5,AS,arrested,6/9/2000,2000
1,JK,arrested,6/10/2000,2000
4,JK,killed,6/10/2000,2000
2,JK,killed,6/10/2000,2000
1,JK,killed,6/10/2000,2000
7,AS,surrendered,6/10/2000,2000
1,AS,killed,6/10/2000,2000
3,JK,killed,6/12/2000,2000
2,JK,killed,6/12/2000,2000
2,JK,killed,6/12/2000,2000
1,JK,killed,6/12/2000,2000
2,JK,killed,6/12/2000,2000
3,JK,injured,6/12/2000,2000
12,JK,injured,6/12/2000,2000
5,JK,killed,6/12/2000,2000
2,JK,killed,6/12/2000,2000
1,JK,killed,6/12/2000,2000
1,AP,killed,6/12/2000,2000
1,JK,killed,6/13/2000,2000
5,JK,killed,6/13/2000,2000
5,JK,killed,6/13/2000,2000
1,JK,killed,6/13/2000,2000
1,AS,surrendered,6/13/2000,2000
4,JK,killed,6/14/2000,2000
7,JK,killed,6/14/2000,2000
7,JK,killed,6/14/2000,2000
2,TR,killed,6/14/2000,2000
1,TR,killed,6/14/2000,2000
5,JK,killed,6/15/2000,2000
2,JK,killed,6/15/2000,2000
1,JK,killed,6/15/2000,2000
1,JK,killed,6/15/2000,2000
8,JK,injured,6/15/2000,2000
2,AP,killed,6/15/2000,2000
1,JK,killed,6/16/2000,2000
2,JK,killed,6/16/2000,2000
1,JK,killed,6/16/2000,2000
2,JK,killed,6/16/2000,2000
2,JK,injured,6/16/2000,2000
22,BR|JH,killed,6/17/2000,2000
3,JK,killed,6/17/2000,2000
1,JK,killed,6/17/2000,2000
1,JK,killed,6/17/2000,2000
1,JK,injured,6/17/2000,2000
1,JK,killed,6/19/2000,2000
2,JK,killed,6/19/2000,2000
1,JK,injured,6/19/2000,2000
1,JK,killed,6/19/2000,2000
6,JK,killed,6/19/2000,2000
2,JK,killed,6/19/2000,2000
1,JK,killed,6/19/2000,2000
1,JK,killed,6/19/2000,2000
3,JK,killed,6/19/2000,2000
3,JK,killed,6/19/2000,2000
2,JK,killed,6/19/2000,2000
2,JK,killed,6/19/2000,2000
5,JK,arrested,6/19/2000,2000
5,JK,arrested,6/19/2000,2000
1,JK,arrested,6/19/2000,2000
3,TR,killed,6/19/2000,2000
2,TR,injured,6/19/2000,2000
1,TR,killing,6/19/2000,2000
4,TR,injuring,6/19/2000,2000
1,AP,killed,6/19/2000,2000
4,MN,arrested,6/19/2000,2000
10,JK,killed,6/20/2000,2000
1,JK,killed,6/20/2000,2000
1,JK,killed,6/20/2000,2000
1,JK,arrested,6/20/2000,2000
1,JK,surrendered,6/21/2000,2000
13,JK,killed,6/21/2000,2000
4,JK,injured,6/21/2000,2000
1,JK,killed,6/21/2000,2000
3,JK,killed,6/21/2000,2000
1,JK,killed,6/21/2000,2000
3,JK,killed,6/21/2000,2000
1,JK,killed,6/21/2000,2000
2,JK,killed,6/21/2000,2000
2,AS,killed,6/21/2000,2000
2,AS,killed,6/21/2000,2000
1,AS,arrested,6/21/2000,2000
12,AS,arrested,6/21/2000,2000
2,AS,arrested,6/21/2000,2000
1,JK,killed,6/22/2000,2000
6,JK,killed,6/22/2000,2000
2,JK,killed,6/22/2000,2000
1,JK,killed,6/22/2000,2000
1,AS,arrested,6/22/2000,2000
2,AS,arrested,6/22/2000,2000
1,AS,killed,6/22/2000,2000
6,JK,killed,6/23/2000,2000
2,JK,killed,6/23/2000,2000
1,JK,killed,6/23/2000,2000
1,JK,arrested,6/23/2000,2000
2,JK,killed,6/23/2000,2000
2,JK,killed,6/23/2000,2000
1,JK,killed,6/23/2000,2000
4,JK,killed,6/23/2000,2000
2,JK,arrested,6/23/2000,2000
2,JK,arrested,6/23/2000,2000
1,AS,killed,6/23/2000,2000
2,AS,arrested,6/23/2000,2000
2,AS,killed,6/23/2000,2000
4,JK,killed,6/24/2000,2000
3,JK,killed,6/24/2000,2000
1,JK,killed,6/24/2000,2000
2,AS,killed,6/24/2000,2000
4,AS,injured,6/24/2000,2000
1,JK,killed,6/26/2000,2000
7,JK,injured,6/26/2000,2000
3,JK,killed,6/26/2000,2000
2,JK,killed,6/26/2000,2000
2,JK,killed,6/26/2000,2000
4,JK,injured,6/26/2000,2000
6,JK,arrested,6/26/2000,2000
1,JK,arrested,6/26/2000,2000
4,JK,killed,6/26/2000,2000
1,JK,killed,6/26/2000,2000
1,JK,killed,6/26/2000,2000
1,JK,killed,6/26/2000,2000
1,JK,injured,6/26/2000,2000
2,JK,arrested,6/26/2000,2000
4,AS,killed,6/26/2000,2000
1,AS,arrested,6/26/2000,2000
1,AS,killed,6/26/2000,2000
8,MN,arrested,6/26/2000,2000
2,JK,killed,6/27/2000,2000
2,JK,killed,6/27/2000,2000
2,JK,killed,6/27/2000,2000
7,JK,arrested,6/27/2000,2000
9,AS,surrendered,6/27/2000,2000
1,AS,arrested,6/27/2000,2000
4,TR,killed,6/27/2000,2000
20,TR,injured,6/27/2000,2000
3,BR|JH,killed,6/27/2000,2000
1,BR|JH,killed,6/27/2000,2000
3,BR|JH,injured,6/27/2000,2000
2,JK,arrested,6/28/2000,2000
2,JK,killed,6/28/2000,2000
2,JK,injured,6/28/2000,2000
1,JK,killed,6/28/2000,2000
1,JK,killed,6/28/2000,2000
2,JK,killed,6/28/2000,2000
2,JK,killed,6/28/2000,2000
1,JK,killed,6/28/2000,2000
1,JK,killed,6/28/2000,2000
4,NA,killed,6/29/2000,2000
4,NA,injured,6/29/2000,2000
1,NA,killed,6/29/2000,2000
2,NA,killed,6/29/2000,2000
1,NA,killed,6/29/2000,2000
1,NA,killed,6/29/2000,2000
2,NA,arrested,6/29/2000,2000
1,NA,arrested,6/29/2000,2000
2,NA,arrested,6/29/2000,2000
2,TR,killed,6/29/2000,2000
1,AP,killed,6/29/2000,2000
6,JK,injured,6/30/2000,2000
2,JK,arrested,6/30/2000,2000
3,JK,arrested,6/30/2000,2000
1,JK,killed,6/30/2000,2000
1,JK,killed,6/30/2000,2000
6,JK,injured,6/30/2000,2000
1,JK,injured,6/30/2000,2000
1,JK,arrested,6/30/2000,2000
3,AS,arrested,6/30/2000,2000
1,AP,killed,6/30/2000,2000
1,MN,arrested,6/30/2000,2000
7,MZ,killed,7/1/2000,2000
4,MZ,injured,7/1/2000,2000
1,JK,killed,7/1/2000,2000
4,JK,injured,7/1/2000,2000
1,JK,killed,7/1/2000,2000
1,JK,killed,7/1/2000,2000
3,JK,killing,7/1/2000,2000
3,JK,injuring,7/1/2000,2000
3,AS,killed,7/1/2000,2000
2,AS,injured,7/1/2000,2000
2,MN,killed,7/1/2000,2000
1,MN,killed,7/1/2000,2000
1,TR,killed,7/1/2000,2000
8,JK,killed,7/4/2000,2000
2,JK,killed,7/4/2000,2000
3,JK,injured,7/4/2000,2000
2,JK,killed,7/4/2000,2000
1,JK,killed,7/4/2000,2000
1,JK,injured,7/4/2000,2000
2,AP,killed,7/4/2000,2000
1,AS,killed,7/4/2000,2000
2,JK,killed,7/5/2000,2000
1,JK,killed,7/5/2000,2000
1,JK,injured,7/5/2000,2000
1,JK,killed,7/5/2000,2000
2,JK,arrested,7/5/2000,2000
1,TR,killed,7/5/2000,2000
3,JK,killed,7/6/2000,2000
2,JK,injured,7/6/2000,2000
2,AS,killed,7/6/2000,2000
1,AS,arrested,7/6/2000,2000
8,TR,arrested,7/7/2000,2000
2,NA,killed,7/8/2000,2000
4,NA,arrested,7/8/2000,2000
1,NA,killed,7/8/2000,2000
3,NA,killed,7/8/2000,2000
1,AS,arrested,7/8/2000,2000
1,TR,arrested,7/8/2000,2000
5,JK,killed,7/10/2000,2000
4,TR,injuring,7/10/2000,2000
2,NA,arrested,7/10/2000,2000
1,JK,killed,7/11/2000,2000
1,AS,killed,7/11/2000,2000
1,JK,killed,7/12/2000,2000
12,MN,killed,7/12/2000,2000
12,MN,killed,7/12/2000,2000
1,AS,injured,7/12/2000,2000
3,JK,killed,7/13/2000,2000
1,NA,killed,7/13/2000,2000
1,JK,killed,7/14/2000,2000
1,JK,killed,7/14/2000,2000
1,JK,killed,7/14/2000,2000
1,JK,killed,7/14/2000,2000
1,JK,arrested,7/14/2000,2000
2,JK,killed,7/14/2000,2000
1,NA,killed,7/14/2000,2000
3,JK,killed,7/15/2000,2000
1,JK,killed,7/15/2000,2000
4,JK,killed,7/15/2000,2000
2,JK,killed,7/15/2000,2000
1,JK,arrested,7/15/2000,2000
1,NA,killed,7/15/2000,2000
1,NA,killed,7/15/2000,2000
2,JK,killed,7/17/2000,2000
1,JK,killed,7/17/2000,2000
10,AS,killed,7/17/2000,2000
4,AS,killed,7/17/2000,2000
3,TR,arrested,7/17/2000,2000
2,JK,killed,7/18/2000,2000
4,JK,injured,7/18/2000,2000
2,AS,killed,7/18/2000,2000
1,AS,surrendered,7/18/2000,2000
1,TR,killed,7/18/2000,2000
2,TR,arrested,7/18/2000,2000
8,AP,arrested,7/18/2000,2000
1,AS,arrested,7/18/2000,2000
6,NA,killed,7/19/2000,2000
1,JK,killed,7/19/2000,2000
4,JK,arrested,7/19/2000,2000
1,JK,killed,7/19/2000,2000
1,JK,killed,7/19/2000,2000
18,AP,surrendered,7/19/2000,2000
2,AS,killed,7/19/2000,2000
1,AS,arrested,7/19/2000,2000
3,JK,killed,7/20/2000,2000
1,JK,killed,7/20/2000,2000
1,JK,injured,7/20/2000,2000
3,JK,injured,7/20/2000,2000
4,JK,killed,7/20/2000,2000
1,JK,killed,7/20/2000,2000
5,JK,arrested,7/20/2000,2000
6,JK,arrested,7/20/2000,2000
4,NA,injured,7/20/2000,2000
4,MN,killed,7/20/2000,2000
1,MN,injured,7/20/2000,2000
5,NA,arrested,7/20/2000,2000
1,NA,killed,7/20/2000,2000
6,NA,killed,7/21/2000,2000
2,NA,killed,7/21/2000,2000
1,NA,killed,7/21/2000,2000
2,NA,killed,7/21/2000,2000
3,AP,killed,7/21/2000,2000
1,AS,surrendered,7/21/2000,2000
4,NA,killed,7/22/2000,2000
1,NA,killed,7/22/2000,2000
2,NA,killed,7/22/2000,2000
2,NA,killed,7/22/2000,2000
2,NA,arrested,7/22/2000,2000
1,NA,arrested,7/22/2000,2000
2,AS,killed,7/22/2000,2000
5,TR,injured,7/22/2000,2000
3,JK,killed,7/24/2000,2000
4,JK,killed,7/24/2000,2000
1,JK,surrendered,7/24/2000,2000
2,JK,killed,7/24/2000,2000
0,JK,kill,7/24/2000,2000
3,JK,killed,7/24/2000,2000
1,JK,killed,7/24/2000,2000
1,NA,killed,7/25/2000,2000
1,NA,killed,7/25/2000,2000
1,NA,killed,7/25/2000,2000
1,NA,injured,7/25/2000,2000
4,NA,killed,7/25/2000,2000
2,NA,killed,7/25/2000,2000
2,NA,killed,7/25/2000,2000
1,TR,killed,7/25/2000,2000
2,TR,arrested,7/25/2000,2000
1,NA,arrested,7/25/2000,2000
1,AS,arrested,7/25/2000,2000
5,NA,killed,7/26/2000,2000
3,NA,arrested,7/26/2000,2000
3,NA,injured,7/26/2000,2000
1,AS,killed,7/26/2000,2000
8,NA,killed,7/27/2000,2000
1,NA,killed,7/27/2000,2000
2,NA,killed,7/27/2000,2000
2,NA,injured,7/27/2000,2000
7,AS,injured,7/27/2000,2000
1,AS,arrested,7/27/2000,2000
1,PB,arrested,7/27/2000,2000
7,NA,killed,7/28/2000,2000
2,NA,killed,7/28/2000,2000
2,NA,killed,7/28/2000,2000
1,NA,killed,7/28/2000,2000
1,NA,injured,7/28/2000,2000
1,NA,arrested,7/28/2000,2000
1,NA,killed,7/28/2000,2000
1,NA,killed,7/28/2000,2000
2,NA,killing,7/29/2000,2000
3,NA,injuring,7/29/2000,2000
6,NA,killed,7/29/2000,2000
1,NA,killed,7/31/2000,2000
2,NA,killed,7/31/2000,2000
2,NA,arrested,7/31/2000,2000
1,JK,killed,7/31/2000,2000
1,JK,killed,7/31/2000,2000
1,JK,injured,7/31/2000,2000
1,JK,injured,7/31/2000,2000
4,MN,killed,7/31/2000,2000
4,MN,injured,7/31/2000,2000
6,NA,killed,8/1/2000,2000
7,NA,injured,8/1/2000,2000
3,NA,injured,8/1/2000,2000
1,NA,killed,8/1/2000,2000
1,NA,killed,8/2/2000,2000
1,NA,killed,8/2/2000,2000
1,NA,killed,8/2/2000,2000
1,NA,arrested,8/2/2000,2000
3,MN,arrested,8/2/2000,2000
7,JK,injured,8/3/2000,2000
4,JK,killed,8/3/2000,2000
3,JK,killed,8/3/2000,2000
2,JK,killed,8/3/2000,2000
3,JK,injured,8/3/2000,2000
2,AS,injured,8/3/2000,2000
2,AS,arrested,8/3/2000,2000
2,NA,killed,8/4/2000,2000
3,NA,killed,8/4/2000,2000
1,NA,killed,8/4/2000,2000
3,NA,killed,8/4/2000,2000
1,NA,injured,8/4/2000,2000
2,NA,killed,8/7/2000,2000
1,NA,killed,8/7/2000,2000
1,NA,killed,8/7/2000,2000
1,NA,killed,8/7/2000,2000
1,NA,killed,8/7/2000,2000
8,NA,injured,8/7/2000,2000
1,AS,killed,8/7/2000,2000
5,JK,killed,8/8/2000,2000
2,JK,killed,8/8/2000,2000
1,JK,killed,8/8/2000,2000
1,JK,killed,8/8/2000,2000
1,JK,injured,8/8/2000,2000
2,JK,killed,8/8/2000,2000
1,AP,killed,8/8/2000,2000
12,NA,killed,8/9/2000,2000
1,NA,killed,8/9/2000,2000
1,NA,killed,8/9/2000,2000
3,NA,killed,8/9/2000,2000
2,NA,killed,8/9/2000,2000
1,NA,killed,8/9/2000,2000
1,MN,arrested,8/9/2000,2000
4,JK,killed,8/10/2000,2000
2,JK,killed,8/10/2000,2000
1,JK,killed,8/10/2000,2000
2,JK,killed,8/10/2000,2000
1,JK,killed,8/10/2000,2000
2,JK,injured,8/10/2000,2000
1,JK,injured,8/10/2000,2000
1,JK,arrested,8/10/2000,2000
